Timestamp: 20/07/2025 13:12:38 | Epoch: 0000 | New Best mIoU: 0.2056
Timestamp: 20/07/2025 13:12:54 | Epoch: 0001 | New Best mIoU: 0.4028
Timestamp: 20/07/2025 13:13:25 | Epoch: 0003 | New Best mIoU: 0.4661
Timestamp: 20/07/2025 13:13:41 | Epoch: 0004 | New Best mIoU: 0.5017
Timestamp: 20/07/2025 13:13:57 | Epoch: 0005 | New Best mIoU: 0.5178
Timestamp: 20/07/2025 13:14:13 | Epoch: 0006 | New Best mIoU: 0.5503
Timestamp: 20/07/2025 13:14:44 | Epoch: 0008 | New Best mIoU: 0.6014
Timestamp: 20/07/2025 13:15:16 | Epoch: 0010 | New Best mIoU: 0.6185
Timestamp: 20/07/2025 13:15:32 | Epoch: 0011 | New Best mIoU: 0.6277
Timestamp: 20/07/2025 13:15:48 | Epoch: 0012 | New Best mIoU: 0.6294
Timestamp: 20/07/2025 13:16:20 | Epoch: 0014 | New Best mIoU: 0.6341
Timestamp: 20/07/2025 13:16:36 | Epoch: 0015 | New Best mIoU: 0.6360
Timestamp: 20/07/2025 13:16:52 | Epoch: 0016 | New Best mIoU: 0.6441
Timestamp: 20/07/2025 13:17:24 | Epoch: 0018 | New Best mIoU: 0.6568
Timestamp: 20/07/2025 13:18:11 | Epoch: 0021 | New Best mIoU: 0.6682
Timestamp: 20/07/2025 13:19:30 | Epoch: 0026 | New Best mIoU: 0.6741
Timestamp: 20/07/2025 13:19:46 | Epoch: 0027 | New Best mIoU: 0.6772
Timestamp: 20/07/2025 13:20:17 | Epoch: 0029 | New Best mIoU: 0.6824
Timestamp: 20/07/2025 13:20:49 | Epoch: 0031 | New Best mIoU: 0.6863
Timestamp: 20/07/2025 13:21:05 | Epoch: 0032 | New Best mIoU: 0.6918
Timestamp: 20/07/2025 13:22:23 | Epoch: 0037 | New Best mIoU: 0.6987
Timestamp: 20/07/2025 13:24:14 | Epoch: 0044 | New Best mIoU: 0.7004
Timestamp: 20/07/2025 13:25:01 | Epoch: 0047 | New Best mIoU: 0.7064
Timestamp: 20/07/2025 13:25:48 | Epoch: 0050 | New Best mIoU: 0.7125
Timestamp: 20/07/2025 13:26:20 | Epoch: 0052 | New Best mIoU: 0.7182
Timestamp: 20/07/2025 13:26:36 | Epoch: 0053 | New Best mIoU: 0.7212
Timestamp: 20/07/2025 13:31:51 | Epoch: 0073 | New Best mIoU: 0.7286
Timestamp: 20/07/2025 13:32:38 | Epoch: 0076 | New Best mIoU: 0.7342
Timestamp: 20/07/2025 13:38:39 | Epoch: 0099 | New Best mIoU: 0.7386
Timestamp: 20/07/2025 13:41:17 | Epoch: 0109 | New Best mIoU: 0.7416
Timestamp: 20/07/2025 13:43:56 | Epoch: 0119 | New Best mIoU: 0.7424
Timestamp: 20/07/2025 13:44:12 | Epoch: 0120 | New Best mIoU: 0.7459
Timestamp: 20/07/2025 13:47:05 | Epoch: 0131 | New Best mIoU: 0.7469
Timestamp: 20/07/2025 13:51:48 | Epoch: 0149 | New Best mIoU: 0.7530
Timestamp: 20/07/2025 13:55:44 | Epoch: 0164 | New Best mIoU: 0.7564
Timestamp: 20/07/2025 14:08:04 | Epoch: 0211 | New Best mIoU: 0.7572
Timestamp: 20/07/2025 14:13:20 | Epoch: 0231 | New Best mIoU: 0.7587
Timestamp: 20/07/2025 14:22:16 | Epoch: 0265 | New Best mIoU: 0.7609
Timestamp: 20/07/2025 14:30:09 | Epoch: 0295 | New Best mIoU: 0.7621
Timestamp: 20/07/2025 14:31:59 | Epoch: 0302 | New Best mIoU: 0.7633
Timestamp: 20/07/2025 14:58:52 | Epoch: 0404 | New Best mIoU: 0.7638
Timestamp: 20/07/2025 15:19:27 | Epoch: 0482 | New Best mIoU: 0.7639
Timestamp: 20/07/2025 16:00:41 | Epoch: 0617 | New Best mIoU: 0.7671
Timestamp: 20/07/2025 16:33:47 | Epoch: 0671 | New Best mIoU: 0.7688
