Timestamp: 20/07/2025 13:12:38 | Epoch: 0000 | Train Loss: 0.9370 | Test Loss: 0.7989 | mIoU: 0.2056 | PD: 0.4183 | FA: 0.00053235 | LR: 0.050000
Timestamp: 20/07/2025 13:12:54 | Epoch: 0001 | Train Loss: 0.7266 | Test Loss: 0.6250 | mIoU: 0.4028 | PD: 0.6388 | FA: 0.00004428 | LR: 0.050000
Timestamp: 20/07/2025 13:13:10 | Epoch: 0002 | Train Loss: 0.6307 | Test Loss: 0.7393 | mIoU: 0.1832 | PD: 0.3270 | FA: 0.00000392 | LR: 0.050000
Timestamp: 20/07/2025 13:13:25 | Epoch: 0003 | Train Loss: 0.6230 | Test Loss: 0.5723 | mIoU: 0.4661 | PD: 0.7871 | FA: 0.00005005 | LR: 0.050000
Timestamp: 20/07/2025 13:13:41 | Epoch: 0004 | Train Loss: 0.5542 | Test Loss: 0.5334 | mIoU: 0.5017 | PD: 0.8144 | FA: 0.00004321 | LR: 0.050000
Timestamp: 20/07/2025 13:13:57 | Epoch: 0005 | Train Loss: 0.5238 | Test Loss: 0.5132 | mIoU: 0.5178 | PD: 0.7871 | FA: 0.00001832 | LR: 0.050000
Timestamp: 20/07/2025 13:14:13 | Epoch: 0006 | Train Loss: 0.5049 | Test Loss: 0.4901 | mIoU: 0.5503 | PD: 0.9160 | FA: 0.00003879 | LR: 0.050000
Timestamp: 20/07/2025 13:14:29 | Epoch: 0007 | Train Loss: 0.5201 | Test Loss: 0.4856 | mIoU: 0.5500 | PD: 0.9242 | FA: 0.00010239 | LR: 0.050000
Timestamp: 20/07/2025 13:14:44 | Epoch: 0008 | Train Loss: 0.4953 | Test Loss: 0.4584 | mIoU: 0.6014 | PD: 0.8897 | FA: 0.00003736 | LR: 0.050000
Timestamp: 20/07/2025 13:15:00 | Epoch: 0009 | Train Loss: 0.5026 | Test Loss: 0.4792 | mIoU: 0.4920 | PD: 0.9430 | FA: 0.00026154 | LR: 0.050000
Timestamp: 20/07/2025 13:15:16 | Epoch: 0010 | Train Loss: 0.5055 | Test Loss: 0.4373 | mIoU: 0.6185 | PD: 0.9316 | FA: 0.00007280 | LR: 0.050000
Timestamp: 20/07/2025 13:15:32 | Epoch: 0011 | Train Loss: 0.4526 | Test Loss: 0.4305 | mIoU: 0.6277 | PD: 0.9198 | FA: 0.00003701 | LR: 0.050000
Timestamp: 20/07/2025 13:15:48 | Epoch: 0012 | Train Loss: 0.4705 | Test Loss: 0.4173 | mIoU: 0.6294 | PD: 0.9091 | FA: 0.00003815 | LR: 0.050000
Timestamp: 20/07/2025 13:16:04 | Epoch: 0013 | Train Loss: 0.4555 | Test Loss: 0.4495 | mIoU: 0.5687 | PD: 0.9354 | FA: 0.00006952 | LR: 0.050000
Timestamp: 20/07/2025 13:16:20 | Epoch: 0014 | Train Loss: 0.4735 | Test Loss: 0.4131 | mIoU: 0.6341 | PD: 0.9316 | FA: 0.00005455 | LR: 0.050000
Timestamp: 20/07/2025 13:16:36 | Epoch: 0015 | Train Loss: 0.4459 | Test Loss: 0.4034 | mIoU: 0.6360 | PD: 0.9202 | FA: 0.00004956 | LR: 0.050000
Timestamp: 20/07/2025 13:16:52 | Epoch: 0016 | Train Loss: 0.4199 | Test Loss: 0.4030 | mIoU: 0.6441 | PD: 0.9392 | FA: 0.00003722 | LR: 0.050000
Timestamp: 20/07/2025 13:17:08 | Epoch: 0017 | Train Loss: 0.4157 | Test Loss: 0.4032 | mIoU: 0.6396 | PD: 0.9468 | FA: 0.00006275 | LR: 0.050000
Timestamp: 20/07/2025 13:17:24 | Epoch: 0018 | Train Loss: 0.4480 | Test Loss: 0.3914 | mIoU: 0.6568 | PD: 0.9316 | FA: 0.00004107 | LR: 0.050000
Timestamp: 20/07/2025 13:17:40 | Epoch: 0019 | Train Loss: 0.4330 | Test Loss: 0.4054 | mIoU: 0.6448 | PD: 0.8821 | FA: 0.00002317 | LR: 0.050000
Timestamp: 20/07/2025 13:17:56 | Epoch: 0020 | Train Loss: 0.4405 | Test Loss: 0.4081 | mIoU: 0.6230 | PD: 0.8897 | FA: 0.00004685 | LR: 0.050000
Timestamp: 20/07/2025 13:18:11 | Epoch: 0021 | Train Loss: 0.4271 | Test Loss: 0.3846 | mIoU: 0.6682 | PD: 0.9240 | FA: 0.00003537 | LR: 0.050000
Timestamp: 20/07/2025 13:18:27 | Epoch: 0022 | Train Loss: 0.4378 | Test Loss: 0.4059 | mIoU: 0.6311 | PD: 0.9316 | FA: 0.00005711 | LR: 0.050000
Timestamp: 20/07/2025 13:18:43 | Epoch: 0023 | Train Loss: 0.4094 | Test Loss: 0.4055 | mIoU: 0.6397 | PD: 0.9468 | FA: 0.00007515 | LR: 0.050000
Timestamp: 20/07/2025 13:18:58 | Epoch: 0024 | Train Loss: 0.4103 | Test Loss: 0.3721 | mIoU: 0.6647 | PD: 0.9427 | FA: 0.00003180 | LR: 0.050000
Timestamp: 20/07/2025 13:19:14 | Epoch: 0025 | Train Loss: 0.4133 | Test Loss: 0.3910 | mIoU: 0.6589 | PD: 0.9167 | FA: 0.00004606 | LR: 0.050000
Timestamp: 20/07/2025 13:19:30 | Epoch: 0026 | Train Loss: 0.3932 | Test Loss: 0.3910 | mIoU: 0.6741 | PD: 0.9430 | FA: 0.00006688 | LR: 0.050000
Timestamp: 20/07/2025 13:19:46 | Epoch: 0027 | Train Loss: 0.3913 | Test Loss: 0.3648 | mIoU: 0.6772 | PD: 0.9504 | FA: 0.00005455 | LR: 0.050000
Timestamp: 20/07/2025 13:20:02 | Epoch: 0028 | Train Loss: 0.4002 | Test Loss: 0.3787 | mIoU: 0.6623 | PD: 0.9316 | FA: 0.00004307 | LR: 0.050000
Timestamp: 20/07/2025 13:20:17 | Epoch: 0029 | Train Loss: 0.3806 | Test Loss: 0.3664 | mIoU: 0.6824 | PD: 0.9545 | FA: 0.00005248 | LR: 0.050000
Timestamp: 20/07/2025 13:20:33 | Epoch: 0030 | Train Loss: 0.3679 | Test Loss: 0.3617 | mIoU: 0.6751 | PD: 0.9544 | FA: 0.00004442 | LR: 0.050000
Timestamp: 20/07/2025 13:20:49 | Epoch: 0031 | Train Loss: 0.3995 | Test Loss: 0.3559 | mIoU: 0.6863 | PD: 0.9620 | FA: 0.00004442 | LR: 0.050000
Timestamp: 20/07/2025 13:21:05 | Epoch: 0032 | Train Loss: 0.3698 | Test Loss: 0.3771 | mIoU: 0.6918 | PD: 0.9618 | FA: 0.00004941 | LR: 0.050000
Timestamp: 20/07/2025 13:21:21 | Epoch: 0033 | Train Loss: 0.3711 | Test Loss: 0.3641 | mIoU: 0.6721 | PD: 0.9163 | FA: 0.00005034 | LR: 0.050000
Timestamp: 20/07/2025 13:21:36 | Epoch: 0034 | Train Loss: 0.3995 | Test Loss: 0.3738 | mIoU: 0.6711 | PD: 0.9432 | FA: 0.00007722 | LR: 0.050000
Timestamp: 20/07/2025 13:21:52 | Epoch: 0035 | Train Loss: 0.3733 | Test Loss: 0.3903 | mIoU: 0.6722 | PD: 0.9466 | FA: 0.00004164 | LR: 0.050000
Timestamp: 20/07/2025 13:22:08 | Epoch: 0036 | Train Loss: 0.3971 | Test Loss: 0.3802 | mIoU: 0.6740 | PD: 0.9432 | FA: 0.00004349 | LR: 0.050000
Timestamp: 20/07/2025 13:22:23 | Epoch: 0037 | Train Loss: 0.3545 | Test Loss: 0.3467 | mIoU: 0.6987 | PD: 0.9466 | FA: 0.00004000 | LR: 0.050000
Timestamp: 20/07/2025 13:22:39 | Epoch: 0038 | Train Loss: 0.3767 | Test Loss: 0.3702 | mIoU: 0.6665 | PD: 0.9508 | FA: 0.00005890 | LR: 0.050000
Timestamp: 20/07/2025 13:22:55 | Epoch: 0039 | Train Loss: 0.3707 | Test Loss: 0.3528 | mIoU: 0.6826 | PD: 0.9278 | FA: 0.00002988 | LR: 0.050000
Timestamp: 20/07/2025 13:23:11 | Epoch: 0040 | Train Loss: 0.3571 | Test Loss: 0.3542 | mIoU: 0.6797 | PD: 0.9430 | FA: 0.00004606 | LR: 0.050000
