Timestamp: 20/07/2025 17:44:16 | Epoch: 0000 | New Best mIoU: 0.0088
Timestamp: 20/07/2025 17:44:36 | Epoch: 0001 | New Best mIoU: 0.0667
Timestamp: 20/07/2025 17:44:56 | Epoch: 0002 | New Best mIoU: 0.0835
Timestamp: 20/07/2025 17:45:16 | Epoch: 0003 | New Best mIoU: 0.2372
Timestamp: 20/07/2025 17:45:35 | Epoch: 0004 | New Best mIoU: 0.3952
Timestamp: 20/07/2025 17:45:55 | Epoch: 0005 | New Best mIoU: 0.5381
Timestamp: 20/07/2025 17:46:34 | Epoch: 0007 | New Best mIoU: 0.6043
Timestamp: 20/07/2025 17:47:32 | Epoch: 0010 | New Best mIoU: 0.6106
Timestamp: 20/07/2025 17:48:12 | Epoch: 0012 | New Best mIoU: 0.6421
Timestamp: 20/07/2025 17:48:51 | Epoch: 0014 | New Best mIoU: 0.6972
Timestamp: 20/07/2025 17:50:48 | Epoch: 0020 | New Best mIoU: 0.7100
Timestamp: 20/07/2025 17:51:07 | Epoch: 0021 | New Best mIoU: 0.7319
Timestamp: 20/07/2025 17:51:46 | Epoch: 0023 | New Best mIoU: 0.7337
Timestamp: 20/07/2025 17:52:45 | Epoch: 0026 | New Best mIoU: 0.7368
Timestamp: 20/07/2025 17:53:05 | Epoch: 0027 | New Best mIoU: 0.7504
Timestamp: 20/07/2025 17:54:42 | Epoch: 0032 | New Best mIoU: 0.7584
Timestamp: 20/07/2025 17:57:19 | Epoch: 0040 | New Best mIoU: 0.7666
Timestamp: 20/07/2025 18:01:52 | Epoch: 0054 | New Best mIoU: 0.7685
Timestamp: 20/07/2025 18:03:29 | Epoch: 0059 | New Best mIoU: 0.7723
Timestamp: 20/07/2025 18:03:49 | Epoch: 0060 | New Best mIoU: 0.7907
Timestamp: 20/07/2025 18:12:56 | Epoch: 0088 | New Best mIoU: 0.7983
Timestamp: 20/07/2025 18:13:54 | Epoch: 0091 | New Best mIoU: 0.8069
Timestamp: 20/07/2025 18:18:47 | Epoch: 0106 | New Best mIoU: 0.8095
Timestamp: 20/07/2025 18:21:43 | Epoch: 0115 | New Best mIoU: 0.8196
Timestamp: 20/07/2025 18:22:22 | Epoch: 0117 | New Best mIoU: 0.8270
Timestamp: 20/07/2025 18:35:03 | Epoch: 0156 | New Best mIoU: 0.8273
Timestamp: 20/07/2025 18:38:57 | Epoch: 0168 | New Best mIoU: 0.8390
Timestamp: 20/07/2025 19:00:43 | Epoch: 0235 | New Best mIoU: 0.8412
Timestamp: 20/07/2025 19:07:32 | Epoch: 0256 | New Best mIoU: 0.8456
Timestamp: 20/07/2025 19:17:56 | Epoch: 0288 | New Best mIoU: 0.8477
Timestamp: 20/07/2025 19:41:01 | Epoch: 0359 | New Best mIoU: 0.8510
Timestamp: 20/07/2025 19:52:24 | Epoch: 0394 | New Best mIoU: 0.8541
Timestamp: 20/07/2025 19:57:37 | Epoch: 0410 | New Best mIoU: 0.8543
Timestamp: 20/07/2025 19:57:56 | Epoch: 0411 | New Best mIoU: 0.8564
Timestamp: 20/07/2025 19:59:15 | Epoch: 0415 | New Best mIoU: 0.8600
Timestamp: 20/07/2025 20:19:25 | Epoch: 0477 | New Best mIoU: 0.8648
Timestamp: 20/07/2025 21:00:04 | Epoch: 0602 | New Best mIoU: 0.8655
Timestamp: 20/07/2025 21:00:43 | Epoch: 0604 | New Best mIoU: 0.8670
Timestamp: 20/07/2025 21:32:54 | Epoch: 0703 | New Best mIoU: 0.8677
Timestamp: 20/07/2025 21:36:29 | Epoch: 0714 | New Best mIoU: 0.8684
Timestamp: 20/07/2025 21:37:27 | Epoch: 0717 | New Best mIoU: 0.8710
Timestamp: 20/07/2025 21:47:31 | Epoch: 0748 | New Best mIoU: 0.8720
Timestamp: 20/07/2025 22:09:18 | Epoch: 0815 | New Best mIoU: 0.8796
Timestamp: 20/07/2025 22:38:52 | Epoch: 0906 | New Best mIoU: 0.8854
