Timestamp: 20/07/2025 17:44:16 | Epoch: 0000 | Train Loss: 0.9970 | Test Loss: 0.9958 | mIoU: 0.0088 | PD: 0.8466 | FA: 0.06688656
Timestamp: 20/07/2025 17:44:36 | Epoch: 0001 | Train Loss: 0.9876 | Test Loss: 0.9817 | mIoU: 0.0667 | PD: 0.9291 | FA: 0.00572676
Timestamp: 20/07/2025 17:44:56 | Epoch: 0002 | Train Loss: 0.9582 | Test Loss: 0.9487 | mIoU: 0.0835 | PD: 0.8794 | FA: 0.00409448
Timestamp: 20/07/2025 17:45:16 | Epoch: 0003 | Train Loss: 0.8935 | Test Loss: 0.8427 | mIoU: 0.2372 | PD: 0.9069 | FA: 0.00074979
Timestamp: 20/07/2025 17:45:35 | Epoch: 0004 | Train Loss: 0.7993 | Test Loss: 0.7389 | mIoU: 0.3952 | PD: 0.7979 | FA: 0.00001923
Timestamp: 20/07/2025 17:45:55 | Epoch: 0005 | Train Loss: 0.7454 | Test Loss: 0.6396 | mIoU: 0.5381 | PD: 0.8349 | FA: 0.00005917
Timestamp: 20/07/2025 17:46:14 | Epoch: 0006 | Train Loss: 0.7156 | Test Loss: 0.6516 | mIoU: 0.4820 | PD: 0.8148 | FA: 0.00002666
Timestamp: 20/07/2025 17:46:34 | Epoch: 0007 | Train Loss: 0.6516 | Test Loss: 0.5768 | mIoU: 0.6043 | PD: 0.8931 | FA: 0.00005630
Timestamp: 20/07/2025 17:46:53 | Epoch: 0008 | Train Loss: 0.6500 | Test Loss: 0.5712 | mIoU: 0.5982 | PD: 0.8963 | FA: 0.00003658
Timestamp: 20/07/2025 17:47:13 | Epoch: 0009 | Train Loss: 0.6347 | Test Loss: 0.6214 | mIoU: 0.5529 | PD: 0.9132 | FA: 0.00014448
Timestamp: 20/07/2025 17:47:32 | Epoch: 0010 | Train Loss: 0.6180 | Test Loss: 0.5584 | mIoU: 0.6106 | PD: 0.8667 | FA: 0.00002188
Timestamp: 20/07/2025 17:47:52 | Epoch: 0011 | Train Loss: 0.6165 | Test Loss: 0.5544 | mIoU: 0.5944 | PD: 0.8984 | FA: 0.00003481
Timestamp: 20/07/2025 17:48:12 | Epoch: 0012 | Train Loss: 0.5632 | Test Loss: 0.4753 | mIoU: 0.6421 | PD: 0.9354 | FA: 0.00005065
Timestamp: 20/07/2025 17:48:31 | Epoch: 0013 | Train Loss: 0.5319 | Test Loss: 0.4988 | mIoU: 0.6330 | PD: 0.9111 | FA: 0.00003309
Timestamp: 20/07/2025 17:48:51 | Epoch: 0014 | Train Loss: 0.5046 | Test Loss: 0.4323 | mIoU: 0.6972 | PD: 0.9291 | FA: 0.00001903
Timestamp: 20/07/2025 17:49:10 | Epoch: 0015 | Train Loss: 0.4975 | Test Loss: 0.4479 | mIoU: 0.6738 | PD: 0.9333 | FA: 0.00005118
Timestamp: 20/07/2025 17:49:30 | Epoch: 0016 | Train Loss: 0.4742 | Test Loss: 0.4358 | mIoU: 0.6652 | PD: 0.8931 | FA: 0.00001565
Timestamp: 20/07/2025 17:49:49 | Epoch: 0017 | Train Loss: 0.4659 | Test Loss: 0.4077 | mIoU: 0.6929 | PD: 0.9270 | FA: 0.00002151
Timestamp: 20/07/2025 17:50:09 | Epoch: 0018 | Train Loss: 0.4498 | Test Loss: 0.4163 | mIoU: 0.6949 | PD: 0.9397 | FA: 0.00003707
Timestamp: 20/07/2025 17:50:28 | Epoch: 0019 | Train Loss: 0.4563 | Test Loss: 0.3849 | mIoU: 0.6949 | PD: 0.8963 | FA: 0.00000970
Timestamp: 20/07/2025 17:50:48 | Epoch: 0020 | Train Loss: 0.4533 | Test Loss: 0.3870 | mIoU: 0.7100 | PD: 0.9513 | FA: 0.00004578
Timestamp: 20/07/2025 17:51:07 | Epoch: 0021 | Train Loss: 0.4385 | Test Loss: 0.3600 | mIoU: 0.7319 | PD: 0.9450 | FA: 0.00002473
Timestamp: 20/07/2025 17:51:27 | Epoch: 0022 | Train Loss: 0.4441 | Test Loss: 0.3531 | mIoU: 0.7217 | PD: 0.9407 | FA: 0.00003043
Timestamp: 20/07/2025 17:51:46 | Epoch: 0023 | Train Loss: 0.4081 | Test Loss: 0.3472 | mIoU: 0.7337 | PD: 0.9312 | FA: 0.00002192
Timestamp: 20/07/2025 17:52:06 | Epoch: 0024 | Train Loss: 0.4259 | Test Loss: 0.3692 | mIoU: 0.7068 | PD: 0.9566 | FA: 0.00005513
Timestamp: 20/07/2025 17:52:26 | Epoch: 0025 | Train Loss: 0.4194 | Test Loss: 0.3515 | mIoU: 0.6890 | PD: 0.9069 | FA: 0.00003222
Timestamp: 20/07/2025 17:52:45 | Epoch: 0026 | Train Loss: 0.4126 | Test Loss: 0.3387 | mIoU: 0.7368 | PD: 0.9376 | FA: 0.00001331
Timestamp: 20/07/2025 17:53:05 | Epoch: 0027 | Train Loss: 0.4104 | Test Loss: 0.3215 | mIoU: 0.7504 | PD: 0.9492 | FA: 0.00001558
Timestamp: 20/07/2025 17:53:24 | Epoch: 0028 | Train Loss: 0.4183 | Test Loss: 0.3451 | mIoU: 0.7262 | PD: 0.9630 | FA: 0.00005391
Timestamp: 20/07/2025 17:53:44 | Epoch: 0029 | Train Loss: 0.4041 | Test Loss: 0.3467 | mIoU: 0.7120 | PD: 0.9524 | FA: 0.00003038
Timestamp: 20/07/2025 17:54:04 | Epoch: 0030 | Train Loss: 0.4051 | Test Loss: 0.3220 | mIoU: 0.7441 | PD: 0.9333 | FA: 0.00001432
Timestamp: 20/07/2025 17:54:23 | Epoch: 0031 | Train Loss: 0.4166 | Test Loss: 0.3151 | mIoU: 0.7451 | PD: 0.9471 | FA: 0.00002112
Timestamp: 20/07/2025 17:54:42 | Epoch: 0032 | Train Loss: 0.3895 | Test Loss: 0.3024 | mIoU: 0.7584 | PD: 0.9524 | FA: 0.00002057
Timestamp: 20/07/2025 17:55:02 | Epoch: 0033 | Train Loss: 0.3752 | Test Loss: 0.3789 | mIoU: 0.6869 | PD: 0.9185 | FA: 0.00001838
Timestamp: 20/07/2025 17:55:22 | Epoch: 0034 | Train Loss: 0.3956 | Test Loss: 0.3253 | mIoU: 0.7325 | PD: 0.9217 | FA: 0.00001680
Timestamp: 20/07/2025 17:55:41 | Epoch: 0035 | Train Loss: 0.4078 | Test Loss: 0.3376 | mIoU: 0.7242 | PD: 0.9608 | FA: 0.00004304
Timestamp: 20/07/2025 17:56:01 | Epoch: 0036 | Train Loss: 0.3673 | Test Loss: 0.3301 | mIoU: 0.7094 | PD: 0.9608 | FA: 0.00004626
Timestamp: 20/07/2025 17:56:20 | Epoch: 0037 | Train Loss: 0.3918 | Test Loss: 0.3083 | mIoU: 0.7490 | PD: 0.9524 | FA: 0.00001756
Timestamp: 20/07/2025 17:56:40 | Epoch: 0038 | Train Loss: 0.3715 | Test Loss: 0.3072 | mIoU: 0.7434 | PD: 0.9439 | FA: 0.00002218
Timestamp: 20/07/2025 17:56:59 | Epoch: 0039 | Train Loss: 0.3675 | Test Loss: 0.2974 | mIoU: 0.7491 | PD: 0.9704 | FA: 0.00004879
Timestamp: 20/07/2025 17:57:19 | Epoch: 0040 | Train Loss: 0.3658 | Test Loss: 0.2858 | mIoU: 0.7666 | PD: 0.9587 | FA: 0.00002080
Timestamp: 20/07/2025 17:57:38 | Epoch: 0041 | Train Loss: 0.4035 | Test Loss: 0.3286 | mIoU: 0.7149 | PD: 0.9439 | FA: 0.00004617
Timestamp: 20/07/2025 17:57:58 | Epoch: 0042 | Train Loss: 0.4001 | Test Loss: 0.3544 | mIoU: 0.7202 | PD: 0.9122 | FA: 0.00001570
Timestamp: 20/07/2025 17:58:17 | Epoch: 0043 | Train Loss: 0.3993 | Test Loss: 0.2881 | mIoU: 0.7507 | PD: 0.9333 | FA: 0.00000811
Timestamp: 20/07/2025 17:58:37 | Epoch: 0044 | Train Loss: 0.3541 | Test Loss: 0.3048 | mIoU: 0.7392 | PD: 0.9587 | FA: 0.00002677
Timestamp: 20/07/2025 17:58:56 | Epoch: 0045 | Train Loss: 0.3480 | Test Loss: 0.3543 | mIoU: 0.6734 | PD: 0.9746 | FA: 0.00012372
Timestamp: 20/07/2025 17:59:16 | Epoch: 0046 | Train Loss: 0.3843 | Test Loss: 0.3084 | mIoU: 0.7346 | PD: 0.9376 | FA: 0.00001760
Timestamp: 20/07/2025 17:59:35 | Epoch: 0047 | Train Loss: 0.3508 | Test Loss: 0.2962 | mIoU: 0.7313 | PD: 0.9735 | FA: 0.00005931
Timestamp: 20/07/2025 17:59:55 | Epoch: 0048 | Train Loss: 0.3643 | Test Loss: 0.3297 | mIoU: 0.7034 | PD: 0.9132 | FA: 0.00001832
Timestamp: 20/07/2025 18:00:14 | Epoch: 0049 | Train Loss: 0.3570 | Test Loss: 0.2978 | mIoU: 0.7515 | PD: 0.9365 | FA: 0.00001089
Timestamp: 20/07/2025 18:00:34 | Epoch: 0050 | Train Loss: 0.3618 | Test Loss: 0.2841 | mIoU: 0.7578 | PD: 0.9481 | FA: 0.00000878
Timestamp: 20/07/2025 18:00:53 | Epoch: 0051 | Train Loss: 0.3409 | Test Loss: 0.3126 | mIoU: 0.7355 | PD: 0.9587 | FA: 0.00004851
Timestamp: 20/07/2025 18:01:13 | Epoch: 0052 | Train Loss: 0.3357 | Test Loss: 0.2969 | mIoU: 0.7381 | PD: 0.9175 | FA: 0.00000496
Timestamp: 20/07/2025 18:01:32 | Epoch: 0053 | Train Loss: 0.3467 | Test Loss: 0.2873 | mIoU: 0.7554 | PD: 0.9513 | FA: 0.00002114
Timestamp: 20/07/2025 18:01:52 | Epoch: 0054 | Train Loss: 0.3617 | Test Loss: 0.2682 | mIoU: 0.7685 | PD: 0.9556 | FA: 0.00001976
Timestamp: 20/07/2025 18:02:11 | Epoch: 0055 | Train Loss: 0.3738 | Test Loss: 0.2986 | mIoU: 0.7671 | PD: 0.9492 | FA: 0.00001811
Timestamp: 20/07/2025 18:02:31 | Epoch: 0056 | Train Loss: 0.3734 | Test Loss: 0.2731 | mIoU: 0.7673 | PD: 0.9524 | FA: 0.00002181
Timestamp: 20/07/2025 18:02:51 | Epoch: 0057 | Train Loss: 0.3263 | Test Loss: 0.3322 | mIoU: 0.7235 | PD: 0.9746 | FA: 0.00004504
Timestamp: 20/07/2025 18:03:10 | Epoch: 0058 | Train Loss: 0.3531 | Test Loss: 0.3144 | mIoU: 0.7676 | PD: 0.9661 | FA: 0.00002509
Timestamp: 20/07/2025 18:03:29 | Epoch: 0059 | Train Loss: 0.3587 | Test Loss: 0.3001 | mIoU: 0.7723 | PD: 0.9598 | FA: 0.00002732
Timestamp: 20/07/2025 18:03:49 | Epoch: 0060 | Train Loss: 0.3403 | Test Loss: 0.2559 | mIoU: 0.7907 | PD: 0.9503 | FA: 0.00001241
Timestamp: 20/07/2025 18:04:09 | Epoch: 0061 | Train Loss: 0.3469 | Test Loss: 0.2895 | mIoU: 0.7382 | PD: 0.9704 | FA: 0.00004589
Timestamp: 20/07/2025 18:04:28 | Epoch: 0062 | Train Loss: 0.3819 | Test Loss: 0.3379 | mIoU: 0.7058 | PD: 0.9524 | FA: 0.00004348
Timestamp: 20/07/2025 18:04:48 | Epoch: 0063 | Train Loss: 0.3814 | Test Loss: 0.3003 | mIoU: 0.7665 | PD: 0.9556 | FA: 0.00001374
Timestamp: 20/07/2025 18:05:07 | Epoch: 0064 | Train Loss: 0.3406 | Test Loss: 0.3049 | mIoU: 0.7366 | PD: 0.9481 | FA: 0.00000726
Timestamp: 20/07/2025 18:05:27 | Epoch: 0065 | Train Loss: 0.3471 | Test Loss: 0.2855 | mIoU: 0.7480 | PD: 0.9354 | FA: 0.00000499
Timestamp: 20/07/2025 18:05:46 | Epoch: 0066 | Train Loss: 0.3288 | Test Loss: 0.2941 | mIoU: 0.7499 | PD: 0.9450 | FA: 0.00001055
Timestamp: 20/07/2025 18:06:06 | Epoch: 0067 | Train Loss: 0.3412 | Test Loss: 0.2832 | mIoU: 0.7546 | PD: 0.9661 | FA: 0.00003982
Timestamp: 20/07/2025 18:06:25 | Epoch: 0068 | Train Loss: 0.3254 | Test Loss: 0.2545 | mIoU: 0.7804 | PD: 0.9672 | FA: 0.00002084
Timestamp: 20/07/2025 18:06:45 | Epoch: 0069 | Train Loss: 0.3523 | Test Loss: 0.2545 | mIoU: 0.7789 | PD: 0.9587 | FA: 0.00002372
Timestamp: 20/07/2025 18:07:05 | Epoch: 0070 | Train Loss: 0.3400 | Test Loss: 0.2869 | mIoU: 0.7655 | PD: 0.9683 | FA: 0.00002369
Timestamp: 20/07/2025 18:07:24 | Epoch: 0071 | Train Loss: 0.3297 | Test Loss: 0.2636 | mIoU: 0.7767 | PD: 0.9746 | FA: 0.00002548
Timestamp: 20/07/2025 18:07:44 | Epoch: 0072 | Train Loss: 0.3284 | Test Loss: 0.2594 | mIoU: 0.7828 | PD: 0.9598 | FA: 0.00002066
